"element_name","kind","external_table","description"
"observation_id","varchar",":doc:`observations_table:observation_id</tables/data_tables/observations_table/observations_table>`","Link to observation this entry is for"
"uncertainty_type","int","uncertainty_type.type","Type of uncertainty described by this entry"
"uncertainty_method","int",":doc:`uncertainty_method:method</tables/code_tables/uncertainty_method/uncertainty_method>`","Method used to estimate this uncertainty"
"uncertainty_value","numeric"," ","Expected error standard deviation due to specified uncerainty source"
"uncertainty_units","int",":doc:`units:units</tables/code_tables/units/units>`","The units used to report the uncertainty. This may be different to the reporting units (e.g. \%)"
