"element_name","kind","external_table","description"
"profile_id","varchar",":doc:`profile_configuration:profile_id</tables/data_tables/profile_configuration/profile_configuration>`","Link to profile for which this entry corresponds"
"kind","int",":doc:`kind:kind</tables/code_tables/kind/kind>`","Enumerated data type (numeric, int, etc)"
"field","varchar",":doc:`profile_configuration_fields:field_id</tables/code_tables/profile_configuration_fields/profile_configuration_fields>`","Field that this entry corresponds to"
"value","varchar","","Kind inherited from field"
"comments","varchar"," ","Any additional comments."
