"element_name","kind","external_table","description"
"contact_id","varchar (pk)"," ","primary key"
"title","varchar"," ","Title of contact (e.g. Mr, Mrs, Dr. etc)"
"name","varchar"," ","Name of contact"
"organisation","varchar ",":doc:`organisation:organisation_id</tables/code_tables/organisation/organisation>`","Link to organisation that contact is associated with"
"telephone","varchar"," ","telephone number for contacr"
"email","varchar"," ","email address for contact"
"url","varchar"," ","website for contact"
