"element_name","kind","external_table","description"
"profile_id","varchar (pk)"," ","Unique ID for this profile entry"
"profile_type","int",":doc:`profile_type:type</tables/code_tables/profile_type/profile_type>`","Type of profile (e.g. atmospheric or oceanic)"
"standard_time","int",":doc:`standard_time:time</tables/code_tables/standard_time/standard_time>`","e.g. Standard / scheduled time for launch or report, e.g. 00, 06, 12, 18 UTC"
"actual_time","timestamp","","Actual report / launch time"
"profile_number","numeric","","e.g. Balloon Number"
"comments","varchar","","Any additional comments / footnotes"
"optional_data","int",":doc:`data_present:flag</tables/code_tables/data_present/data_present>`","Flag indicating whether there is additional metadata available"
