"element_name","kind","external_table","description"
"station_primary_id","varchar",":doc:`station_configuration:primary_id</tables/data_tables/station_configuration/station_configuration>`","Link to station for which this entry corresponds"
"record_number","int",":doc:`station_configuration:record_number</tables/data_tables/station_configuration/station_configuration>`","Link to station for which this entry corresponds"
"kind","int",":doc:`kind:kind</tables/code_tables/kind/kind>`","Enumerated data type (numeric, int, etc)"
"field","varchar",":doc:`station_configuration_fields:field_id</tables/code_tables/station_configuration_fields/station_configuration_fields>`","Field that this entry corresponds to"
"value","varchar","","Kind inherited from field "
"comments","varchar"," ","Any additional comments."
