"element_name","kind","external_table","description"
"report_id","varchar",":doc:`observations_table:observation_id</tables/data_tables/observations_table/observations_table>`","Link to observation for which this entry corresponds"
"kind","int",":doc:`kind:kind</tables/code_tables/kind/kind>`","Enumerated data type (numeric, int, etc)"
"field","varchar",":doc:`header_fields:field_id</tables/code_tables/header_fields/header_fields>`","Field that this entry corresponds to"
"value","varchar","Kind","inherited from field "
"comments","varchar","","Any additional comments."
