"element_name","kind","external_table","description"
"sensor_id","varchar ",":doc:`sensor_configuration:sensor_id</tables/data_tables/sensor_configuration/sensor_configuration>`","Link to sensor for which this entry corresponds"
"kind","int",":doc:`kind:kind</tables/code_tables/kind/kind>`","Enumerated data type (numeric, int, etc)"
"field","varchar",":doc:`sensor_configuration_fields:field_id</tables/code_tables/sensor_configuration_fields/sensor_configuration_fields>`","Field that this entry corresponds to"
"value","varchar","","Kind inherited from field"
"comments","varchar"," ","Any additional comments."
