"element_name","kind","external_table","description"
"source_id","varchar ",":doc:`source_configuration:source_id</tables/data_tables/source_configuration/source_configuration>`","Link to source for which this entry corresponds"
"kind","int",":doc:`kind:kind</tables/code_tables/kind/kind>`","Enumerated data type (numeric, int, etc)"
"field","varchar",":doc:`source_configuration_fields:field_id</tables/code_tables/source_configuration_fields/source_configuration_fields>`","Field that this entry corresponds to"
"value","varchar","","Kind inherited from field"
"comments","varchar"," ","Any additional comments."
