"element_name","kind","external_table","description"
"observation_id","varchar",":doc:`observations_table:observation_id</tables/data_tables/observations_table/observations_table>`","Link to observation this entry is for"
"homogenisation_method","int",":doc:`homogenisation_method:method</tables/code_tables/homogenisation_method/homogenisation_method>`","Method used to homogenise data"
"homogenisation_adjustment","numeric"," ","Value applied to homogenise data (homogenised_value = original (+-/*) homogenisation_adjustment)"
"homogenisation_operator","int",":doc:`homogenisation_operator:operator</tables/code_tables/homogenisation_operator/homogenisation_operator>`","Operator (+-/*) used to apply adjustment"
"homogenisation_order","int"," ","Order in which the adjustments are applied. Set to NA or missing if not applicable"
